iso,region,d_obs,d_pred,d_itn,years
KEN,Meru,0.017039656538622303,-0.008780778827567101,-0.0014999999999999458,7
KEN,Migori,-0.03336176735594751,-0.048492657881622596,-0.0014999999999999458,7
KEN,Mombasa,-0.0090828253173309,-0.0177087623117819,-0.0014999999999999458,7
KEN,Nandi,0.0041466380517084026,-0.018537863652120595,-0.0014999999999999458,7
KEN,Nyamira,0.0337288323482274,-0.008646026705083602,-0.0014999999999999458,7
KEN,Siaya,-0.1751264536834801,-0.10722088913529029,-0.0014999999999999458,7
KEN,Taita/taveta,0.027065389958323596,-0.008305083518747602,-0.0014999999999999458,7
KEN,Trans Nzoia,0.017993871900911104,-0.008460394675748398,-0.0014999999999999458,7
KEN,Turkana,-0.014401193600695604,-0.0231886542545311,-0.0014999999999999458,7
KEN,Vihiga,-0.1113662793739588,-0.0935621817539066,-0.0014999999999999458,7
KEN,West Pokot,-0.0031836570558751998,-0.0195724803108139,-0.0014999999999999458,7
LBR,Bomi,0.07649672772522997,-0.09379596459973541,-0.015199999999999991,7
LBR,Bong,-0.10005458973548703,-0.10335270325056073,-0.015199999999999991,7
LBR,Gbapolu,0.029061617685226027,-0.09003001996441118,-0.015199999999999991,7
LBR,Grand Bassa,-0.015758470115036005,-0.08966594759770488,-0.015199999999999991,7
LBR,Grand Cape Mount,0.004699463006097915,-0.0895264963112089,-0.015199999999999991,7
LBR,Grand Gedeh,0.11212405029022998,-0.08915494874566171,-0.015199999999999991,7
LBR,Grand Kru,-0.155560977583232,-0.09833221770805245,-0.015199999999999991,7
LBR,Lofa,0.04288959460254199,-0.0896131002457998,-0.015199999999999991,7
LBR,Margibi,0.05369478214099804,-0.09432243298346568,-0.015199999999999991,7
LBR,Maryland,-0.011318279090104966,-0.09968951355089478,-0.015199999999999991,7
LBR,Montserrado,0.14026580892261697,-0.0477250987181438,-0.015199999999999991,7
LBR,Nimba,-0.045816378265295166,-0.10273148192582487,-0.015199999999999991,7
LBR,River Cess,-0.04904655377641404,-0.09794399638927948,-0.015199999999999991,7
LBR,River Gee,0.044719377402754,-0.10381787449819435,-0.015199999999999991,7
LBR,Sinoe,-0.12865509709547296,-0.09902459574146988,-0.015199999999999991,7
MDG,Alaotra Mangoro,0.06255486034802121,-0.0138560030061362,0.046699999999999964,7
MDG,Amoron I Mania,0.026740973211715802,-0.0122809547630568,0.046699999999999964,7
MDG,Analamanga,0.0256810638589475,-0.0141491784830981,0.046699999999999964,7
MDG,Analanjirofo,0.061427942545658594,-0.0168209461060589,0.046699999999999964,7
MDG,Androy,0.0498507515952974,-0.015511571249140101,0.046699999999999964,7
MDG,Anosy,0.0920695984348427,-0.036140862269565394,0.046699999999999964,7
