lat,lon,GLDAS_NOAH10_M_2_1_AvgSurfT_inst
-30.5,-57.5,292.1122
-30.5,-56.5,291.98737
-30.5,-55.5,291.5521
-30.5,-54.5,291.61966
-30.5,-53.5,291.7393
-30.5,-52.5,292.0311
-30.5,-51.5,292.26056
-30.5,17.5,292.33447
-30.5,18.5,294.55325
-30.5,19.5,294.487
-30.5,20.5,294.87787
-30.5,21.5,294.1019
-30.5,22.5,293.48682
-30.5,23.5,293.17804
-30.5,24.5,292.83133
-30.5,25.5,291.1553
-30.5,26.5,289.8139
-30.5,27.5,286.96344
-30.5,28.5,286.1438
-30.5,29.5,289.7174
-30.5,30.5,291.1276
-30.5,115.5,294.37946
-30.5,116.5,293.39667
-30.5,117.5,294.30698
-30.5,118.5,294.03525
-30.5,119.5,293.91486
-30.5,120.5,293.81122
-30.5,121.5,294.115
-30.5,122.5,294.04718
-30.5,123.5,294.28668
-30.5,124.5,294.85428
-30.5,125.5,295.00955
-30.5,126.5,294.75882
-30.5,127.5,294.7294
-30.5,128.5,294.7684
-30.5,129.5,294.92096
-30.5,130.5,295.2958
-30.5,131.5,295.06995
-30.5,132.5,295.32568
-30.5,133.5,295.45767
-30.5,134.5,295.54825
-30.5,135.5,295.92014
-30.5,136.5,296.17575
-30.5,137.5,296.31262
-30.5,138.5,294.72714
-30.5,139.5,295.3469
-30.5,140.5,296.4934
-30.5,141.5,295.72226
-30.5,142.5,296.04047
-30.5,143.5,296.0224
-30.5,144.5,296.31573
-30.5,145.5,295.66162
-30.5,146.5,295.4661
-30.5,147.5,294.7969
-30.5,148.5,293.9839
-30.5,149.5,292.96893
-30.5,150.5,291.27487
-30.5,151.5,288.16324
-30.5,152.5,288.9549
-29.5,-70.5,288.65897
-29.5,-69.5,284.49673
-29.5,-68.5,287.4566
-29.5,-67.5,288.20465
-29.5,-66.5,294.6256
-29.5,-65.5,296.6341
-29.5,-64.5,295.43704
-29.5,-63.5,294.0178
-29.5,-62.5,294.8126
-29.5,-61.5,294.2589
-29.5,-60.5,293.76395
-29.5,-59.5,293.04834
-29.5,-58.5,292.62903
-29.5,-57.5,292.55817
-29.5,-56.5,292.77872
-29.5,-55.5,292.26447
-29.5,-54.5,292.19894
-29.5,-53.5,292.2555
-29.5,-52.5,291.66962
-29.5,-51.5,291.15134
-29.5,-50.5,291.6072
-29.5,17.5,293.93008
-29.5,18.5,294.801
-29.5,19.5,295.01508
-29.5,20.5,295.7148
-29.5,21.5,295.3571
-29.5,22.5,294.42993
-29.5,23.5,294.72195
-29.5,24.5,293.73184
-29.5,25.5,292.28275
-29.5,26.5,290.4542
-29.5,27.5,287.4197
-29.5,28.5,285.9406
-29.5,29.5,286.42178
-29.5,30.5,289.6786
-29.5,115.5,295.2681
-29.5,116.5,295.09323
-29.5,117.5,295.25085
-29.5,118.5,295.39038
-29.5,119.5,295.1212
-29.5,120.5,295.222
-29.5,121.5,295.17285
-29.5,122.5,294.83295
-29.5,123.5,294.90833
-29.5,124.5,295.53073
-29.5,125.5,295.83054
-29.5,126.5,295.80795
-29.5,127.5,295.66388
-29.5,128.5,295.80643
-29.5,129.5,295.8811
-29.5,130.5,296.22464
-29.5,131.5,296.1094
-29.5,132.5,296.2859
-29.5,133.5,296.76758
-29.5,134.5,296.8417
-29.5,135.5,297.01825
-29.5,136.5,297.5119
-29.5,137.5,298.00507
-29.5,138.5,297.67294
-29.5,139.5,296.947
-29.5,140.5,296.8871
-29.5,141.5,297.20816
-29.5,142.5,297.0659
-29.5,143.5,296.98438
-29.5,144.5,296.88257
-29.5,145.5,296.82404
-29.5,146.5,296.51233
-29.5,147.5,296.13162
-29.5,148.5,295.29184
-29.5,149.5,294.36533
-29.5,150.5,292.7006
-29.5,151.5,289.58575
-29.5,152.5,289.0571
-28.5,-70.5,289.0049
-28.5,-69.5,281.9529
-28.5,-68.5,282.88623
-28.5,-67.5,286.47043
-28.5,-66.5,292.44806
-28.5,-65.5,295.1028
-28.5,-64.5,295.13284
-28.5,-63.5,295.56393
-28.5,-62.5,295.06635
-28.5,-61.5,294.69376
-28.5,-60.5,294.15674
-28.5,-59.5,293.67902
-28.5,-58.5,293.46826
-28.5,-57.5,293.44174
-28.5,-56.5,293.37982
-28.5,-55.5,292.91898
-28.5,-54.5,292.26624
-28.5,-53.5,291.56787
-28.5,-52.5,290.48367
-28.5,-51.5,290.23444
-28.5,-50.5,288.96494
-28.5,-49.5,289.74036
-28.5,16.5,293.57028
-28.5,17.5,296.95905
-28.5,18.5,297.36832
-28.5,19.5,296.1149
-28.5,20.5,296.38785
-28.5,21.5,295.64157
-28.5,22.5,294.80646
-28.5,23.5,294.24387
-28.5,24.5,294.22778
-28.5,25.5,293.3556
-28.5,26.5,291.52606
-28.5,27.5,289.6354
-28.5,28.5,287.08505
-28.5,29.5,288.02753
-28.5,30.5,291.6355
-28.5,31.5,293.66513
-28.5,114.5,295.2239
-28.5,115.5,296.3014
-28.5,116.5,296.67688
-28.5,117.5,296.45624
-28.5,118.5,296.47067
-28.5,119.5,296.2807
-28.5,120.5,296.32422
-28.5,121.5,296.16644
-28.5,122.5,295.78723
-28.5,123.5,296.0299
-28.5,124.5,296.21213
-28.5,125.5,296.25876
-28.5,126.5,296.31512
-28.5,127.5,296.60208
-28.5,128.5,296.63635
-28.5,129.5,296.16937
-28.5,130.5,296.10214
-28.5,131.5,296.2319
-28.5,132.5,296.67697
-28.5,133.5,297.39255
-28.5,134.5,297.9025
-28.5,135.5,298.37125
-28.5,136.5,298.40665
-28.5,137.5,298.61917
-28.5,138.5,298.267
-28.5,139.5,297.83835
-28.5,140.5,297.90405
-28.5,141.5,297.92743
-28.5,142.5,298.27036
-28.5,143.5,297.80835
-28.5,144.5,297.3106
-28.5,145.5,297.2748
-28.5,146.5,296.7722
-28.5,147.5,296.17953
-28.5,148.5,295.99924
-28.5,149.5,295.25052
-28.5,150.5,294.2113
-28.5,151.5,291.9456
-28.5,152.5,290.6151
-28.5,153.5,292.68024
-27.5,-70.5,290.16498
-27.5,-69.5,285.0609
-27.5,-68.5,279.18814
-27.5,-67.5,287.40555
-27.5,-66.5,290.6364
-27.5,-65.5,288.77814
-27.5,-64.5,294.881
-27.5,-63.5,295.9238
-27.5,-62.5,295.4603
-27.5,-61.5,295.08383
-27.5,-60.5,294.9007
-27.5,-59.5,294.67984
-27.5,-58.5,294.2876
-27.5,-57.5,294.25363
-27.5,-56.5,293.96063
-27.5,-55.5,293.2089
-27.5,-54.5,292.03107
-27.5,-53.5,292.50565
-27.5,-52.5,291.95566
-27.5,-51.5,290.46603
-27.5,-50.5,289.55795
-27.5,-49.5,289.64877
-27.5,15.5,293.00748
-27.5,16.5,295.72528
-27.5,17.5,297.10175
-27.5,18.5,297.20554
-27.5,19.5,295.87036
-27.5,20.5,296.60144
-27.5,21.5,296.45374
-27.5,22.5,296.02042
-27.5,23.5,294.2957
-27.5,24.5,294.08313
-27.5,25.5,292.95706
-27.5,26.5,292.2987
-27.5,27.5,291.4798
-27.5,28.5,290.0811
-27.5,29.5,289.53708
-27.5,30.5,290.80307
-27.5,31.5,292.90268
-27.5,32.5,295.8148
-27.5,114.5,297.34085
-27.5,115.5,298.15796
-27.5,116.5,298.033
-27.5,117.5,297.46567
-27.5,118.5,297.44223
-27.5,119.5,297.19403
-27.5,120.5,297.08212
-27.5,121.5,296.71686
-27.5,122.5,296.67764
-27.5,123.5,296.6467
-27.5,124.5,296.87085
-27.5,125.5,297.0899
-27.5,126.5,297.11853
-27.5,127.5,297.15518
-27.5,128.5,297.33466
-27.5,129.5,296.86465
-27.5,130.5,296.73877
-27.5,131.5,296.22186
-27.5,132.5,296.2232
-27.5,133.5,297.10202
-27.5,134.5,298.32584
-27.5,135.5,298.97327
-27.5,136.5,298.9411
-27.5,137.5,298.67807
-27.5,138.5,298.98825
-27.5,139.5,298.85458
-27.5,140.5,299.28445
-27.5,141.5,299.37814
-27.5,142.5,298.97684
-27.5,143.5,298.23447
-27.5,144.5,297.8006
-27.5,145.5,297.3739
-27.5,146.5,296.6769
-27.5,147.5,295.9308
-27.5,148.5,295.67484
-27.5,149.5,295.4578
-27.5,150.5,294.56104
-27.5,151.5,292.72595
-27.5,152.5,291.7244
-26.5,-70.5,291.59457
-26.5,-69.5,288.09827
-26.5,-68.5,279.38428
-26.5,-67.5,279.18643
-26.5,-66.5,287.13492
-26.5,-65.5,289.82635
-26.5,-64.5,293.59647
-26.5,-63.5,295.87863
-26.5,-62.5,296.01938
-26.5,-61.5,295.77036
-26.5,-60.5,295.5261
-26.5,-59.5,295.2515
-26.5,-58.5,295.2509
-26.5,-57.5,294.71503
-26.5,-56.5,294.76666
-26.5,-55.5,294.3218
-26.5,-54.5,292.34708
-26.5,-53.5,292.7125
-26.5,-52.5,291.90002
-26.5,-51.5,290.48904
-26.5,-50.5,290.18033
-26.5,-49.5,292.10278
-26.5,15.5,296.13846
-26.5,16.5,295.89825
-26.5,17.5,297.94354
-26.5,18.5,298.40533
-26.5,19.5,296.80673
-26.5,20.5,296.82993
-26.5,21.5,297.34708
-26.5,22.5,296.88425
-26.5,23.5,295.5402
-26.5,24.5,294.65652
-26.5,25.5,293.00723
-26.5,26.5,291.90512
-26.5,27.5,292.1977
-26.5,28.5,291.49326
