lat,lon,AIRS3STM_006_RelHumSurf_D
-88.5,127.5,86.61097
-88.5,128.5,85.6025
-88.5,129.5,86.13265
-88.5,130.5,86.5225
-88.5,131.5,88.11375
-88.5,132.5,87.532555
-88.5,133.5,86.56771
-88.5,134.5,87.69125
-88.5,135.5,86.708336
-88.5,136.5,87.72549
-88.5,137.5,88.04779
-88.5,138.5,86.004074
-88.5,139.5,87.35842
-88.5,140.5,86.69141
-88.5,141.5,86.72135
-88.5,142.5,86.68495
-88.5,143.5,86.955
-88.5,144.5,86.788605
-88.5,145.5,87.35568
-88.5,146.5,87.601715
-88.5,147.5,87.06611
-88.5,148.5,86.126305
-88.5,149.5,86.90944
-88.5,150.5,87.67602
-88.5,151.5,88.71759
-88.5,152.5,87.23558
-88.5,153.5,87.625
-88.5,154.5,87.66038
-88.5,155.5,86.80048
-88.5,156.5,87.695755
-88.5,157.5,87.893974
-88.5,158.5,87.789215
-88.5,159.5,87.16199
-88.5,160.5,87.479546
-88.5,161.5,87.383415
-88.5,162.5,87.373726
-88.5,163.5,87.45153
-88.5,164.5,88.50236
-88.5,165.5,87.153305
-88.5,166.5,88.80795
-88.5,167.5,87.51005
-88.5,168.5,88.267365
-88.5,169.5,88.53125
-88.5,170.5,86.271225
-88.5,171.5,88.10287
-88.5,172.5,87.33137
-88.5,173.5,87.33565
-88.5,174.5,87.29599
-88.5,175.5,85.30896
-88.5,176.5,88.40691
-88.5,177.5,87.8275
-88.5,178.5,86.19853
-88.5,179.5,86.970055
-87.5,-179.5,87.40972
-87.5,-178.5,86.13088
-87.5,-177.5,86.25903
-87.5,-176.5,86.09341
-87.5,-175.5,86.73981
-87.5,-174.5,86.73558
-87.5,-173.5,85.03022
-87.5,-172.5,86.08634
-87.5,-171.5,86.89851
-87.5,-170.5,86.31062
-87.5,-169.5,86.7021
-87.5,-168.5,87.326065
-87.5,-167.5,86.10706
-87.5,-166.5,86.231544
-87.5,-165.5,86.39977
-87.5,-164.5,85.63672
-87.5,-163.5,86.38393
-87.5,-162.5,85.77542
-87.5,-161.5,85.895836
-87.5,-160.5,86.26549
-87.5,-159.5,85.695854
-87.5,-158.5,85.49619
-87.5,-157.5,86.41473
-87.5,-156.5,86.37447
-87.5,-155.5,86.47479
-87.5,-154.5,86.54273
-87.5,-153.5,86.18592
-87.5,-152.5,85.601494
-87.5,-151.5,86.392296
-87.5,-150.5,86.53814
-87.5,-149.5,86.28365
-87.5,-148.5,86.20085
-87.5,-147.5,86.83944
-87.5,-146.5,86.13515
-87.5,-145.5,86.1398
-87.5,-144.5,86.030136
-87.5,-143.5,86.36842
-87.5,-142.5,86.31139
-87.5,-141.5,87.19403
