lat,lon,GLDAS_NOAH10_M_2_1_Evap_tavg
-30.5,115.5,1.21152225E-5
-30.5,116.5,1.23899135E-5
-30.5,117.5,1.0843447E-5
-30.5,118.5,9.195659E-6
-30.5,119.5,9.06619E-6
-30.5,120.5,9.66667E-6
-30.5,121.5,9.19573E-6
-30.5,122.5,1.0082006E-5
-30.5,123.5,1.054255E-5
-30.5,124.5,1.0359579E-5
-30.5,125.5,1.0427629E-5
-30.5,126.5,1.0316248E-5
-30.5,127.5,1.0467923E-5
-30.5,128.5,1.0201381E-5
-30.5,129.5,9.971679E-6
-30.5,130.5,9.747417E-6
-30.5,131.5,8.938735E-6
-30.5,132.5,8.2606275E-6
-30.5,133.5,7.550536E-6
-30.5,134.5,7.0661913E-6
-30.5,135.5,6.553622E-6
-30.5,136.5,5.9285403E-6
-30.5,137.5,5.843957E-6
-30.5,138.5,5.50985E-6
-30.5,139.5,6.0683587E-6
-30.5,140.5,6.3527837E-6
-30.5,141.5,7.250605E-6
-30.5,142.5,7.598747E-6
-30.5,143.5,8.581696E-6
-30.5,144.5,9.404937E-6
-30.5,145.5,1.0779596E-5
-30.5,146.5,1.1674043E-5
-30.5,147.5,1.3662862E-5
-30.5,148.5,1.5385403E-5
-30.5,149.5,1.785997E-5
-30.5,150.5,2.0766287E-5
-30.5,151.5,2.4237552E-5
-30.5,152.5,3.1364463E-5
-29.5,-70.5,4.0800123E-6
-29.5,-69.5,5.000148E-6
-29.5,-68.5,6.7556048E-6
-29.5,-67.5,9.230018E-6
-29.5,-66.5,1.1644075E-5
-29.5,-65.5,1.4452095E-5
-29.5,-64.5,1.8114635E-5
-29.5,-63.5,2.221195E-5
-29.5,-62.5,2.758284E-5
-29.5,-61.5,3.2409636E-5
-29.5,-60.5,3.6696565E-5
-29.5,-59.5,3.8380367E-5
-29.5,-58.5,4.0353705E-5
-29.5,-57.5,4.143842E-5
-29.5,-56.5,4.4100143E-5
-29.5,-55.5,4.4569584E-5
-29.5,-54.5,3.808831E-5
-29.5,-53.5,3.6721856E-5
-29.5,-52.5,3.6612022E-5
-29.5,-51.5,3.617278E-5
-29.5,-50.5,3.7420905E-5
-29.5,17.5,2.7866538E-6
-29.5,18.5,3.3150047E-6
-29.5,19.5,4.496831E-6
-29.5,20.5,5.131906E-6
-29.5,21.5,6.8515924E-6
-29.5,22.5,8.7800945E-6
-29.5,23.5,1.115377E-5
-29.5,24.5,1.2299935E-5
-29.5,25.5,1.5156524E-5
-29.5,26.5,1.7573675E-5
-29.5,27.5,2.0083717E-5
-29.5,28.5,2.0938522E-5
-29.5,29.5,2.6605867E-5
-29.5,30.5,2.5959185E-5
-29.5,115.5,1.0290225E-5
-29.5,116.5,9.706896E-6
-29.5,117.5,9.685888E-6
-29.5,118.5,8.327833E-6
-29.5,119.5,8.162622E-6
-29.5,120.5,8.305055E-6
-29.5,121.5,8.478472E-6
-29.5,122.5,9.709235E-6
-29.5,123.5,9.44384E-6
-29.5,124.5,9.778147E-6
-29.5,125.5,9.72096E-6
-29.5,126.5,9.849596E-6
-29.5,127.5,9.8085275E-6
-29.5,128.5,9.918757E-6
-29.5,129.5,1.0043974E-5
-29.5,130.5,9.278464E-6
-29.5,131.5,8.749407E-6
-29.5,132.5,8.2458555E-6
-29.5,133.5,6.934765E-6
-29.5,134.5,6.789034E-6
-29.5,135.5,6.3807634E-6
-29.5,136.5,5.4513216E-6
-29.5,137.5,5.2483447E-6
-29.5,138.5,5.6304957E-6
-29.5,139.5,6.001848E-6
-29.5,140.5,5.877586E-6
-29.5,141.5,6.563442E-6
-29.5,142.5,7.591607E-6
-29.5,143.5,8.806908E-6
-29.5,144.5,9.51122E-6
-29.5,145.5,1.051059E-5
-29.5,146.5,1.1723734E-5
-29.5,147.5,1.2900241E-5
-29.5,148.5,1.4190495E-5
-29.5,149.5,1.762691E-5
-29.5,150.5,1.9668374E-5
-29.5,151.5,2.2326492E-5
-29.5,152.5,2.928126E-5
-28.5,-70.5,2.0550442E-6
-28.5,-69.5,3.408505E-6
-28.5,-68.5,5.7857296E-6
-28.5,-67.5,9.81739E-6
-28.5,-66.5,9.5952855E-6
-28.5,-65.5,1.36079425E-5
-28.5,-64.5,1.9912823E-5
-28.5,-63.5,2.2732009E-5
-28.5,-62.5,2.745678E-5
-28.5,-61.5,3.195963E-5
-28.5,-60.5,3.642023E-5
-28.5,-59.5,3.9694543E-5
-28.5,-58.5,4.1531675E-5
-28.5,-57.5,4.208791E-5
-28.5,-56.5,4.201579E-5
-28.5,-55.5,4.2139895E-5
-28.5,-54.5,4.170186E-5
-28.5,-53.5,4.2602227E-5
-28.5,-52.5,3.817112E-5
-28.5,-51.5,3.585851E-5
-28.5,-50.5,3.663622E-5
-28.5,-49.5,3.7010755E-5
-28.5,16.5,2.127144E-6
-28.5,17.5,2.55905E-6
-28.5,18.5,3.451261E-6
-28.5,19.5,4.463733E-6
-28.5,20.5,6.0489806E-6
-28.5,21.5,7.5310027E-6
-28.5,22.5,9.5016085E-6
-28.5,23.5,1.1227104E-5
-28.5,24.5,1.2835483E-5
-28.5,25.5,1.4682391E-5
-28.5,26.5,1.6735621E-5
-28.5,27.5,1.8628258E-5
-28.5,28.5,2.0177047E-5
-28.5,29.5,2.4373969E-5
-28.5,30.5,2.5994012E-5
-28.5,31.5,2.5421685E-5
-28.5,114.5,9.407325E-6
-28.5,115.5,9.271042E-6
-28.5,116.5,8.545662E-6
-28.5,117.5,8.5998845E-6
-28.5,118.5,7.910269E-6
-28.5,119.5,7.998777E-6
-28.5,120.5,8.0172995E-6
-28.5,121.5,8.702314E-6
-28.5,122.5,8.785277E-6
-28.5,123.5,9.278455E-6
-28.5,124.5,9.510864E-6
-28.5,125.5,9.542198E-6
-28.5,126.5,9.899344E-6
-28.5,127.5,9.186543E-6
-28.5,128.5,9.514726E-6
-28.5,129.5,9.695901E-6
-28.5,130.5,8.983505E-6
-28.5,131.5,8.371645E-6
-28.5,132.5,7.862877E-6
-28.5,133.5,6.9739503E-6
-28.5,134.5,6.420011E-6
-28.5,135.5,5.845148E-6
-28.5,136.5,5.6259273E-6
-28.5,137.5,5.032337E-6
-28.5,138.5,4.9448813E-6
-28.5,139.5,4.8922475E-6
-28.5,140.5,5.4970023E-6
-28.5,141.5,6.98467E-6
-28.5,142.5,7.652226E-6
-28.5,143.5,8.919243E-6
-28.5,144.5,9.81896E-6
-28.5,145.5,1.0712971E-5
-28.5,146.5,1.1956331E-5
-28.5,147.5,1.33201665E-5
-28.5,148.5,1.3954955E-5
-28.5,149.5,1.6909973E-5
-28.5,150.5,1.8666664E-5
-28.5,151.5,1.9526167E-5
-28.5,152.5,2.6342199E-5
-28.5,153.5,3.1627384E-5
-27.5,-70.5,1.307885E-6
-27.5,-69.5,2.1171707E-6
-27.5,-68.5,4.2343845E-6
-27.5,-67.5,9.254381E-6
-27.5,-66.5,1.2529229E-5
-27.5,-65.5,1.7322742E-5
-27.5,-64.5,2.1770427E-5
-27.5,-63.5,2.4033894E-5
-27.5,-62.5,2.8301654E-5
-27.5,-61.5,3.1237396E-5
-27.5,-60.5,3.459264E-5
-27.5,-59.5,3.6385158E-5
-27.5,-58.5,4.1449865E-5
-27.5,-57.5,4.2199877E-5
-27.5,-56.5,4.192582E-5
-27.5,-55.5,4.3886186E-5
-27.5,-54.5,4.1412E-5
-27.5,-53.5,3.8765993E-5
-27.5,-52.5,3.6271766E-5
-27.5,-51.5,3.404539E-5
-27.5,-50.5,3.3000764E-5
-27.5,-49.5,3.3297405E-5
-27.5,15.5,1.8899946E-6
-27.5,16.5,2.3559392E-6
-27.5,17.5,3.597737E-6
-27.5,18.5,4.8305906E-6
-27.5,19.5,5.72332E-6
-27.5,20.5,6.991838E-6
-27.5,21.5,8.0521795E-6
-27.5,22.5,9.096269E-6
-27.5,23.5,1.1139789E-5
-27.5,24.5,1.3119628E-5
-27.5,25.5,1.5102304E-5
-27.5,26.5,1.6247895E-5
-27.5,27.5,1.8854586E-5
-27.5,28.5,1.9577852E-5
-27.5,29.5,2.2705257E-5
-27.5,30.5,2.497024E-5
-27.5,31.5,2.5280531E-5
-27.5,32.5,2.4135854E-5
-27.5,114.5,8.709505E-6
-27.5,115.5,8.171416E-6
-27.5,116.5,7.80047E-6
-27.5,117.5,7.975212E-6
-27.5,118.5,7.691839E-6
-27.5,119.5,8.133855E-6
-27.5,120.5,8.399446E-6
-27.5,121.5,8.786893E-6
-27.5,122.5,8.645634E-6
-27.5,123.5,8.830398E-6
-27.5,124.5,8.797588E-6
-27.5,125.5,8.523384E-6
-27.5,126.5,8.605867E-6
-27.5,127.5,9.093022E-6
-27.5,128.5,8.55525E-6
-27.5,129.5,9.117678E-6
-27.5,130.5,8.506601E-6
-27.5,131.5,8.367341E-6
-27.5,132.5,7.598377E-6
-27.5,133.5,7.0781584E-6
-27.5,134.5,6.2368404E-6
-27.5,135.5,5.7363145E-6
-27.5,136.5,5.610002E-6
-27.5,137.5,4.426595E-6
-27.5,138.5,5.3140643E-6
-27.5,139.5,5.3349486E-6
-27.5,140.5,6.6670555E-6
-27.5,141.5,7.664722E-6
-27.5,142.5,8.322792E-6
-27.5,143.5,9.51598E-6
-27.5,144.5,1.0545681E-5
-27.5,145.5,1.1482037E-5
-27.5,146.5,1.2664508E-5
-27.5,147.5,1.3925018E-5
