lat,lon,GLDAS_NOAH10_M_2_1_SoilMoi10_40cm_inst
-24.5,-64.5,82.45984
-24.5,-63.5,71.919464
-24.5,-62.5,59.619587
-24.5,-61.5,59.55929
-24.5,-60.5,65.01991
-24.5,-59.5,69.26119
-24.5,-58.5,80.00147
-24.5,-57.5,86.33469
-24.5,-56.5,81.879845
-24.5,-55.5,82.928
-24.5,-54.5,111.287766
-24.5,-53.5,110.198044
-24.5,-52.5,116.33389
-24.5,-51.5,83.85288
-24.5,-50.5,83.044106
-24.5,-49.5,83.65508
-24.5,-48.5,84.76576
-24.5,-47.5,105.73046
-24.5,15.5,32.721653
-24.5,16.5,58.520462
-24.5,17.5,57.75843
-24.5,18.5,52.017723
-24.5,19.5,53.488262
