lat,lon,AIRS3STM_006_RelHumSurf_A
-88.5,-176.5,85.82537
-88.5,-175.5,84.722534
-88.5,-174.5,86.84528
-88.5,-173.5,85.6194
-88.5,-172.5,85.94238
-88.5,-171.5,86.163605
-88.5,-170.5,84.61754
-88.5,-169.5,85.98913
-88.5,-168.5,88.247284
-88.5,-167.5,85.36443
-88.5,-166.5,85.21786
-88.5,-165.5,87.284164
-88.5,-164.5,86.671455
-88.5,-163.5,85.87066
-88.5,-162.5,85.950836
-88.5,-161.5,86.174515
-88.5,-160.5,86.73052
-88.5,-159.5,86.18669
-88.5,-158.5,87.02453
-88.5,-157.5,86.664154
-88.5,-156.5,86.5274
-88.5,-155.5,86.89022
-88.5,-154.5,86.072914
-88.5,-153.5,85.37578
-88.5,-152.5,86.72967
-88.5,-151.5,86.947784
-88.5,-150.5,85.08703
-88.5,-149.5,87.32849
-88.5,-148.5,85.32173
-88.5,-147.5,85.85838
-88.5,-146.5,86.20016
-88.5,-145.5,87.20903
-88.5,-144.5,86.141975
-88.5,-143.5,85.0811
-88.5,-142.5,84.640625
-88.5,-141.5,86.8125
-88.5,-140.5,86.54241
-88.5,-139.5,85.8125
-88.5,-138.5,85.191505
-88.5,-137.5,85.52398
-88.5,-136.5,85.366714
-88.5,-135.5,85.412186
-88.5,-134.5,87.19375
-88.5,-133.5,87.8696
-88.5,-132.5,85.5
-88.5,-131.5,85.182755
-88.5,-130.5,85.957275
-88.5,-129.5,86.109375
-88.5,-128.5,86.51302
-88.5,-127.5,85.7809
-88.5,-126.5,84.850784
-88.5,-125.5,85.76899
-88.5,-124.5,85.97864
-88.5,-123.5,85.189125
-88.5,-122.5,85.44391
-88.5,-121.5,85.52644
-88.5,-120.5,85.325485
-88.5,-119.5,86.453125
-88.5,-118.5,85.22115
-88.5,-117.5,83.560936
-88.5,-116.5,86.47734
-88.5,-115.5,84.60823
-88.5,-114.5,84.49275
-88.5,-113.5,85.099846
-88.5,-112.5,86.16484
-88.5,-111.5,85.28203
-88.5,-110.5,85.77855
-88.5,-109.5,85.56797
-88.5,-108.5,84.94968
-88.5,-107.5,85.2769
-88.5,-106.5,86.0775
-88.5,-105.5,86.13403
-88.5,-104.5,86.14744
-88.5,-103.5,85.73026
-88.5,-102.5,84.94271
-88.5,-101.5,85.78402
-88.5,-100.5,84.91016
-88.5,-99.5,85.61641
-88.5,-98.5,86.77031
-88.5,-97.5,85.32853
-88.5,-96.5,84.64766
-88.5,-95.5,85.22762
-88.5,-94.5,85.40278
-88.5,-93.5,85.2171
-88.5,-92.5,85.16281
-88.5,-91.5,86.270836
-88.5,-90.5,85.064735
-88.5,-89.5,85.154274
-88.5,-88.5,84.958885
-88.5,-87.5,85.68359
-88.5,-86.5,85.64953
-88.5,-85.5,85.02439
-88.5,-84.5,85.33654
-88.5,-83.5,85.3201
-88.5,-82.5,85.34966
-88.5,-81.5,84.58941
-88.5,-80.5,84.87805
-88.5,-79.5,84.465
-88.5,-78.5,84.296265
-88.5,-77.5,85.65312
-88.5,-76.5,84.62576
-88.5,-75.5,85.74097
-88.5,-74.5,85.333595
-88.5,-73.5,86.36574
-88.5,-72.5,85.585526
-88.5,-71.5,84.99919
-88.5,-70.5,86.02702
-88.5,-69.5,86.415
-88.5,-68.5,86.567856
-88.5,-67.5,84.950836
-88.5,-66.5,86.12981
-88.5,-65.5,86.13686
-88.5,-64.5,85.211716
