lat,lon,GLDAS_NOAH10_M_2_1_Tair_f_inst
-28.5,20.5,294.80466
-28.5,21.5,294.4601
-28.5,22.5,293.74817
-28.5,23.5,292.84467
-28.5,24.5,293.3898
-28.5,25.5,292.6366
-28.5,26.5,290.98795
-28.5,27.5,289.12573
-28.5,28.5,286.10187
-28.5,29.5,287.88583
-28.5,30.5,290.76785
-28.5,31.5,292.98804
-28.5,114.5,293.32913
-28.5,115.5,294.28323
-28.5,116.5,294.58054
-28.5,117.5,294.5564
-28.5,118.5,294.53564
-28.5,119.5,294.55536
-28.5,120.5,294.634
-28.5,121.5,294.46512
-28.5,122.5,294.23575
-28.5,123.5,294.52124
-28.5,124.5,294.74985
-28.5,125.5,294.73242
-28.5,126.5,294.91568
-28.5,127.5,295.2067
-28.5,128.5,295.1669
-28.5,129.5,294.5571
-28.5,130.5,294.39365
-28.5,131.5,294.55774
-28.5,132.5,294.90863
-28.5,133.5,295.4209
-28.5,134.5,296.0764
-28.5,135.5,296.51514
-28.5,136.5,296.87643
-28.5,137.5,297.36365
-28.5,138.5,297.35385
-28.5,139.5,297.0788
-28.5,140.5,296.9068
-28.5,141.5,296.62634
-28.5,142.5,296.80716
-28.5,143.5,296.24084
-28.5,144.5,295.75687
-28.5,145.5,295.61465
-28.5,146.5,295.10165
-28.5,147.5,294.5431
-28.5,148.5,294.357
-28.5,149.5,293.67856
-28.5,150.5,292.52704
-28.5,151.5,290.06506
-28.5,152.5,289.91602
-28.5,153.5,292.04938
-27.5,-70.5,289.3632
-27.5,-69.5,280.52646
-27.5,-68.5,271.7163
-27.5,-67.5,283.3819
-27.5,-66.5,288.04852
-27.5,-65.5,288.32153
-27.5,-64.5,294.3632
-27.5,-63.5,294.97742
-27.5,-62.5,294.56964
-27.5,-61.5,294.48346
-27.5,-60.5,294.4309
-27.5,-59.5,294.35382
-27.5,-58.5,294.5472
-27.5,-57.5,294.55563
-27.5,-56.5,294.2547
-27.5,-55.5,293.71164
-27.5,-54.5,292.37317
-27.5,-53.5,292.59283
-27.5,-52.5,291.7993
-27.5,-51.5,290.31165
-27.5,-50.5,289.1537
-27.5,-49.5,289.5008
-27.5,15.5,290.41748
-27.5,16.5,292.2126
-27.5,17.5,293.97916
-27.5,18.5,294.37173
-27.5,19.5,293.89734
-27.5,20.5,295.23117
-27.5,21.5,295.38135
-27.5,22.5,294.9529
-27.5,23.5,293.1679
-27.5,24.5,293.08182
-27.5,25.5,292.2421
-27.5,26.5,291.89383
-27.5,27.5,290.71338
-27.5,28.5,289.1505
-27.5,29.5,288.59827
-27.5,30.5,290.1876
-27.5,31.5,291.90405
-27.5,32.5,294.9072
-27.5,114.5,294.9782
-27.5,115.5,296.02963
-27.5,116.5,296.10312
-27.5,117.5,295.63724
-27.5,118.5,295.5952
-27.5,119.5,295.345
-27.5,120.5,295.3501
-27.5,121.5,295.0119
-27.5,122.5,295.02505
-27.5,123.5,295.06485
-27.5,124.5,295.27667
-27.5,125.5,295.62106
-27.5,126.5,295.68143
-27.5,127.5,295.84692
-27.5,128.5,295.92596
-27.5,129.5,295.1062
-27.5,130.5,294.94696
-27.5,131.5,294.38577
