HH1,HH2,TNLN,TN3,TN4,TN5,TN5A,TN5B,TN7,TN8,TN9,TN10,TN11_1,TN11_2,TN11_3,TN11_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
3,21,3,1,98,13,12,9998, , , ,1,5,6,90, ,3,1,1,1,2,0.9586636598920221,0.2249866866944291,4
3,22,1,1,2,12,31,9995, , , ,1,1,90, , ,2,1,1,1,1,0.9586636598920221,0.34557247147735853,5
3,22,2,1,13,12,13,9995, , , ,1,2,4,5,6,2,1,1,1,1,0.9586636598920221,0.34557247147735853,5
3,23,1,1,4,12,13,9995, , , ,1,1,2,8,90,2,1,1,2,2,0.9586636598920221,-0.3895196192528645,3
3,23,2,1,4,12,13,9995, , , ,1,3,4,5,7,2,1,1,2,2,0.9586636598920221,-0.3895196192528645,3
3,24,1,1,5,11,16,9995, , , ,1,1,90, , ,2,1,1,1,4,0.9586636598920221,-0.5535216704126017,1
3,24,2,1,5,11,16,9995, , , ,2, , , , ,2,1,1,1,4,0.9586636598920221,-0.5535216704126017,1
3,25,1,1,10,12,31,9995, , , ,1,1,2,90, ,5,1,1,2,2,0.9586636598920221,0.16599899229811316,4
3,25,2,1,10,99,31,9995,9,9, ,1,4,90, , ,5,1,1,2,2,0.9586636598920221,0.16599899229811316,4
3,25,3,1,10,12,31,9995, , , ,1,3,5,90, ,5,1,1,2,2,0.9586636598920221,0.16599899229811316,4
3,25,4,2,10,11,31,9995, , , ,2, , , , ,5,1,1,2,2,0.9586636598920221,0.16599899229811316,4
3,25,5,2,10,11,31,9995, , , ,2, , , , ,5,1,1,2,2,0.9586636598920221,0.16599899229811316,4
4,1,1,1,24,12,13,9995, , , ,1,1,90, , ,2,2,1,2,2,1.34111359031081,0.36498905620640276,5
4,1,2,1,24,12,13,9995, , , ,1,5,6,90, ,2,2,1,2,2,1.34111359031081,0.36498905620640276,5
4,2,1,1,1,16,13,9995, , , ,2, , , , ,3,2,1,3,4,1.34111359031081,-0.30020403495532993,3
4,2,2,1,18,12,13,9995, , , ,1,3,4,5,90,3,2,1,3,4,1.34111359031081,-0.30020403495532993,3
4,2,3,1,18,12,13,9995, , , ,1,1,2,6,90,3,2,1,3,4,1.34111359031081,-0.30020403495532993,3
4,5,1,1,98,21,13,9995, ,2, ,1,1,90, , ,2,2,1,2,2,1.34111359031081,0.5432088583267681,5
4,5,2,2,98,21,13,9995, ,2, ,2, , , , ,2,2,1,2,2,1.34111359031081,0.5432088583267681,5
4,7,1,1,98,13,96,9995, , , ,1,1,2,90, ,3,2,1,3,2,1.34111359031081,0.7159467063280945,5
4,7,2,1,98,12,96,9995, , , ,1,3,4,90, ,3,2,1,3,2,1.34111359031081,0.7159467063280945,5
4,7,3,1,98,13,96,9995, , , ,1,5,90, , ,3,2,1,3,2,1.34111359031081,0.7159467063280945,5
4,9,1,1,12,13,11,9995, , , ,1,1,2,90, ,4,2,1,3,2,1.34111359031081,0.7511829923940823,5
4,9,2,1,2,13,96,9995, , , ,2, , , , ,4,2,1,3,2,1.34111359031081,0.7511829923940823,5
4,9,3,1,2,16,96,9995, , , ,2, , , , ,4,2,1,3,2,1.34111359031081,0.7511829923940823,5
4,9,4,1,2,16,96,9995, , , ,2, , , , ,4,2,1,3,2,1.34111359031081,0.7511829923940823,5
4,10,1,2,16,13,31,9995, , , ,1,1,90, , ,1,2,1,2,1,1.34111359031081,0.6748191855293891,5
4,11,1,1,9,12,11,9995, , , ,1,1,2,3,4,1,2,1,1,1,1.34111359031081,0.4952885385429636,5
4,13,1,1,12,12,13,9995, , , ,1,1,2,5,90,2,2,1,2,2,1.34111359031081,-0.13563686040905204,4
4,13,2,1,12,12,13,9995, , , ,1,3,90, , ,2,2,1,2,2,1.34111359031081,-0.13563686040905204,4
4,14,1,1,24,11,11,9995, , , ,1,1,90, , ,1,2,1,2,2,1.34111359031081,0.42905978783420134,5
4,15,1,1,4,11,13,9995, , , ,1,1,90, , ,3,2,1,2,1,1.34111359031081,-0.1909353508980762,4
4,15,2,1,4,11,13,9995, , , ,1,2,90, , ,3,2,1,2,1,1.34111359031081,-0.1909353508980762,4
