HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
6,1,3,2,13,95, , , ,2, , , , ,3,2,3,3,1,0.9748648664669459,-0.17838772912934714,3
6,3,1,1,13,14, , , ,1,6,7,90, ,2,2,3,3,1,0.9748648664669459,1.4771941294969493,5
6,3,2,1,11,95, , , ,1,5,8,90, ,2,2,3,3,1,0.9748648664669459,1.4771941294969493,5
6,4,1,1,11,24, , , ,1,1,2,90, ,2,2,3,1,1,0.9748648664669459,-0.5849184592636503,1
6,4,2,1,13,95, , , ,1,3,4,90, ,2,2,3,1,1,0.9748648664669459,-0.5849184592636503,1
6,5,1,2,11,95, , , ,1,1,3,4,90,2,2,3,2,1,0.9748648664669459,-0.19341602241052874,3
6,5,2,2,11,95, , , ,1,2,90, , ,2,2,3,2,1,0.9748648664669459,-0.19341602241052874,3
6,6,1,1,13,12, , , ,1,1,2,3,90,1,2,3,1,3,0.9748648664669459,-0.6762553709700513,1
6,7,1,1,11,30, , , ,1,3,6,90, ,2,2,3,2,1,0.9748648664669459,-0.5751684966659452,1
6,7,2,1,12,95, , , ,1,1,2,4,5,2,2,3,2,1,0.9748648664669459,-0.5751684966659452,1
6,8,1,1,11,95, , , ,1,9,11,12,90,3,2,3,2,1,0.9748648664669459,-0.40738077629553904,3
6,8,2,1,11,95, , , ,1,3,14,13,90,3,2,3,2,1,0.9748648664669459,-0.40738077629553904,3
6,8,3,1,11,95, , , ,1,8,10,90, ,3,2,3,2,1,0.9748648664669459,-0.40738077629553904,3
6,9,1,1,13,24, , , ,1,1,2,3,4,1,2,3,1,3,0.9748648664669459,-0.6822958828393598,1
6,10,1,1,13,24, , , ,1,1,5,90, ,1,2,3,1,3,0.9748648664669459,-0.605133386273931,1
6,12,1,1,11,32, , , ,1,1,6,90, ,1,2,3,1,1,0.9748648664669459,-0.602219424572072,1
6,13,1,1,13,12, , , ,1,1,2,3,90,1,2,3,1,3,0.9748648664669459,-0.4718381448914348,2
6,14,1,1,13,95, , , ,1,1,2,8,90,3,2,3,1,3,0.9748648664669459,-0.6777873948550054,1
6,14,2,1,11,95, , , ,1,7,5,6,90,3,2,3,1,3,0.9748648664669459,-0.6777873948550054,1
6,14,3,2,11,95, , , ,1,4,90, , ,3,2,3,1,3,0.9748648664669459,-0.6777873948550054,1
6,15,1,1,13,6, , , ,1,1,2,6,90,1,2,3,1,3,0.9748648664669459,-0.5130634879385338,2
6,16,1,1,11,95, , , ,1,1,2,3,90,3,2,3,1,3,0.9748648664669459,0.38936301926172157,4
6,16,2,1,11,95, , , ,2, , , , ,3,2,3,1,3,0.9748648664669459,0.38936301926172157,4
6,16,3,1,98,7,2,2, ,2, , , , ,3,2,3,1,3,0.9748648664669459,0.38936301926172157,4
6,17,1,1,13,22, , , ,1,1,2,5,90,2,2,3,1,1,0.9748648664669459,-0.3619793483575338,3
6,17,2,1,13,95, , , ,1,3,4,90, ,2,2,3,1,1,0.9748648664669459,-0.3619793483575338,3
6,18,1,1,13,12, , , ,1,1,2,90, ,1,2,3,1,3,0.9748648664669459,-0.563908043226832,2
6,20,1,1,11,32, , , ,1,1,2,90, ,3,2,3,1,3,0.9748648664669459,-0.5481467633166542,2
6,20,2,1,11,32, , , ,1,3,90, , ,3,2,3,1,3,0.9748648664669459,-0.5481467633166542,2
6,20,3,1,11,32, , , ,1,4,90, , ,3,2,3,1,3,0.9748648664669459,-0.5481467633166542,2
6,21,1,1,13,95, , , ,1,1,2,6,7,1,2,3,1,3,0.9748648664669459,-0.5505468717869536,2
6,22,1,1,13,95, , , ,1,1,2,11,12,3,2,3,1,1,0.9748648664669459,1.3348497749621102,5
6,22,2,1,11,95, , , ,1,5,7,6,9,3,2,3,1,1,0.9748648664669459,1.3348497749621102,5
6,22,3,1,11,95, , , ,1,4,8,10,90,3,2,3,1,1,0.9748648664669459,1.3348497749621102,5
6,23,1,1,11,32, , , ,1,2,3,4,7,3,2,3,3,1,0.9748648664669459,-0.04102844613049555,4
6,23,2,1,11,32, , , ,1,1,10,8,90,3,2,3,3,1,0.9748648664669459,-0.04102844613049555,4
6,23,3,1,11,32, , , ,1,5,6,9,90,3,2,3,3,1,0.9748648664669459,-0.04102844613049555,4
6,24,1,1,11,26, , , ,1,8,3,2,11,3,2,3,2,1,0.9748648664669459,-0.41175379133070833,3
6,24,2,1,13,6, , , ,1,1,6,12,90,3,2,3,2,1,0.9748648664669459,-0.41175379133070833,3
6,24,3,1,13,13, , , ,1,10,5,90, ,3,2,3,2,1,0.9748648664669459,-0.41175379133070833,3
6,25,1,1,12,24, , , ,1,1,2,11,13,3,2,3,1,1,0.9748648664669459,-0.5751976912227811,1
6,25,2,1,12,24, , , ,1,3,6,5,12,3,2,3,1,1,0.9748648664669459,-0.5751976912227811,1
6,25,3,1,11,32, , , ,1,4,8,10,9,3,2,3,1,1,0.9748648664669459,-0.5751976912227811,1
7,1,1,1,11,95, , , ,1,1,2,5,6,1,2,3,2,3,0.5344587772237492,-0.25111433326922933,3
7,2,1,1,11,32, , , ,1,1,5,90, ,2,2,3,2,3,0.5344587772237492,-0.16678293307737765,4
7,2,2,1,11,32, , , ,1,2,3,4,90,2,2,3,2,3,0.5344587772237492,-0.16678293307737765,4
7,3,1,1,11,95, , , ,2, , , , ,1,2,3,1,3,0.5344587772237492,-0.6650247790914848,1
7,4,1,1,11,26, , , ,1,3,4,5,6,2,2,3,2,1,0.5344587772237492,-0.5468369457190722,2
7,4,2,1,12,26, , , ,1,1,2,7,8,2,2,3,2,1,0.5344587772237492,-0.5468369457190722,2
7,5,1,1,13,95, , , ,1,1,2,4,90,1,2,3,1,1,0.5344587772237492,0.141682351575125,4
7,6,1,1,13,12, , , ,1,1,2,3,4,2,2,3,3,1,0.5344587772237492,-0.0014475598410468192,4
7,6,2,1,11,32, , , ,1,5,90, , ,2,2,3,3,1,0.5344587772237492,-0.0014475598410468192,4
7,7,1,1,13,95, , , ,1,3,8,90, ,2,2,3,1,1,0.5344587772237492,-0.39238130257835735,3
7,7,2,1,11,29, , , ,1,1,2,6,7,2,2,3,1,1,0.5344587772237492,-0.39238130257835735,3
7,8,1,1,13,95, , , ,1,1,2,90, ,1,2,3,2,1,0.5344587772237492,-0.5541580806291269,2
7,11,1,1,11,95, , , ,1,4,7,90, ,3,2,3,1,1,0.5344587772237492,-0.25595951102841136,3
7,11,2,1,13,95, , , ,1,2,1,90, ,3,2,3,1,1,0.5344587772237492,-0.25595951102841136,3
7,11,3,1,11,95, , , ,1,3,8,90, ,3,2,3,1,1,0.5344587772237492,-0.25595951102841136,3
7,12,1,1,11,22, , , ,1,1,2,7,90,2,2,3,2,3,0.5344587772237492,-0.5676835445821903,2
7,12,2,1,11,28, , , ,1,4,5,6,90,2,2,3,2,3,0.5344587772237492,-0.5676835445821903,2
7,13,1,1,11,32, , , ,1,1,2,3,4,1,2,3,1,1,0.5344587772237492,-0.6822958828393598,1
7,14,1,1,11,26, , , ,1,1,90, , ,2,2,3,2,1,0.5344587772237492,-0.5631750565978358,2
7,14,2,1,13,95, , , ,1,3,90, , ,2,2,3,2,1,0.5344587772237492,-0.5631750565978358,2
7,15,1,1,11,33, , , ,1,1,2,3,90,1,2,3,1,1,0.5344587772237492,-0.6762553709700513,1
7,16,1,1,12,26, , , ,1,9,90, , ,1,2,3,2,1,0.5344587772237492,-0.7048383227611322,1
7,17,1,1,11,95, , , ,1,1,90, , ,1,2,3,2,1,0.5344587772237492,-0.519636407084381,2
7,18,1,1,11,32, , , ,1,1,90, , ,1,2,3,2,3,0.5344587772237492,-0.6462279789645241,1
7,19,1,1,13,24, , , ,1,1,2,3,90,1,2,3,2,3,0.5344587772237492,-0.5802448428817725,1
7,20,1,1,11,32, , , ,1,2,90, , ,2,2,3,3,1,0.5344587772237492,-0.5541580806291269,2
7,20,2,1,11,32, , , ,1,1,3,4,90,2,2,3,3,1,0.5344587772237492,-0.5541580806291269,2
7,21,1,1,11,32, , , ,1,1,2,3,90,1,2,3,2,1,0.5344587772237492,-0.672694033473164,1
7,22,1,1,11,33, , , ,1,1,2,7,90,1,2,3,1,1,0.5344587772237492,-0.27726798203317493,3
7,23,1,2,13,24, , , ,1,1,2,5,90,2,2,3,2,3,0.5344587772237492,-0.6822958828393598,1
7,23,2,1,13,95, , , ,1,4,3,90, ,2,2,3,2,3,0.5344587772237492,-0.6822958828393598,1
7,24,1,1,11,32, , , ,1,1,2,6,90,2,2,3,3,1,0.5344587772237492,0.26005442102158355,4
7,24,2,1,11,32, , , ,1,3,4,5,90,2,2,3,3,1,0.5344587772237492,0.26005442102158355,4
7,25,1,1,11,32, , , ,1,1,2,6,4,1,2,3,9,1,0.5344587772237492,-0.5631750565978358,2
