HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,ethnicity,religion,region,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
2,20,2,1,11,3, , , ,1,3,4,5,90,2,2,101,2,96,5,1,0.3734785041257784,-0.641262383583677,2, , ,-0.607080469347682,2
2,21,1,1,12,14, , , ,1,2,4,90, ,3,2,101,3,96,2,1,0.3734785041257784,0.4004949000495136,4, , ,0.9902947634400696,5
2,21,2,1,12,14, , , ,1,1,90, , ,3,2,101,3,96,2,1,0.3734785041257784,0.4004949000495136,4, , ,0.9902947634400696,5
2,21,3,1,12,14, , , ,1,3,90, , ,3,2,101,3,96,2,1,0.3734785041257784,0.4004949000495136,4, , ,0.9902947634400696,5
2,22,1,1,12,24, , , ,1,1,2,90, ,3,2,101,2,96,5,1,0.3734785041257784,0.37121382573594,4, , ,0.9453967208415125,5
2,22,2,1,12,24, , , ,2, , , , ,3,2,101,2,96,5,1,0.3734785041257784,0.37121382573594,4, , ,0.9453967208415125,5
2,22,3,1,12,24, , , ,2, , , , ,3,2,101,2,96,5,1,0.3734785041257784,0.37121382573594,4, , ,0.9453967208415125,5
2,23,1,1,12,12, , , ,1,4,5,90, ,2,2,101,2,96,2,1,0.3734785041257784,-0.6567289636511239,2, , ,-0.6307961009288742,2
2,23,2,1,12,12, , , ,1,1,6,90, ,2,2,101,2,96,2,1,0.3734785041257784,-0.6567289636511239,2, , ,-0.6307961009288742,2
2,25,1,1,12,12, , , ,1,3,4,90, ,4,2,101,2,96,5,1,0.3734785041257784,0.2049834411534173,4, , ,0.6905078869061788,5
2,25,2,1,12,12, , , ,1,2,5,90, ,4,2,101,2,96,5,1,0.3734785041257784,0.2049834411534173,4, , ,0.6905078869061788,5
2,25,3,1,12,12, , , ,1,1,90, , ,4,2,101,2,96,5,1,0.3734785041257784,0.2049834411534173,4, , ,0.6905078869061788,5
2,25,4,1,12,12, , , ,2, , , , ,4,2,101,2,96,5,1,0.3734785041257784,0.2049834411534173,4, , ,0.6905078869061788,5
3,3,1,1,12,95, , , ,2, , , , ,3,2,101,2,96,7,1,0.33418721353336056,-0.6132276774475662,2, , ,-0.5640935414481942,2
3,3,2,1,12,95, , , ,2, , , , ,3,2,101,2,96,7,1,0.33418721353336056,-0.6132276774475662,2, , ,-0.5640935414481942,2
3,3,3,1,12,95, , , ,2, , , , ,3,2,101,2,96,7,1,0.33418721353336056,-0.6132276774475662,2, , ,-0.5640935414481942,2
3,4,1,1,12,5, , , ,1,1,2,3,90,1,2,101,2,96,5,1,0.33418721353336056,-0.4734097963847478,3, , ,-0.3497042361661686,3
3,5,1,1,12,2, , , ,2, , , , ,1,2,101,2,96,2,1,0.33418721353336056,-0.6187827263040782,2, , ,-0.5726113580257479,2
3,6,1,1,12,95, , , ,1,6,4,3,90,3,2,101,2,96,5,1,0.33418721353336056,-0.1357127966791918,4, , ,0.16810238922655005,4
3,6,2,1,12,0, , , ,1,1,2,7,90,3,2,101,2,96,5,1,0.33418721353336056,-0.1357127966791918,4, , ,0.16810238922655005,4
3,6,3,2,12,95, , , ,2, , , , ,3,2,101,2,96,5,1,0.33418721353336056,-0.1357127966791918,4, , ,0.16810238922655005,4
3,7,1,1,12,24, , , ,1,3,4,90, ,4,2,101,2,96,7,1,0.33418721353336056,-0.3810523126987576,3, , ,-0.20808818094831463,3
3,7,2,2,12,95, , , ,1,2,7,8,90,4,2,101,2,96,7,1,0.33418721353336056,-0.3810523126987576,3, , ,-0.20808818094831463,3
3,7,3,2,12,95, , , ,1,5,6,90, ,4,2,101,2,96,7,1,0.33418721353336056,-0.3810523126987576,3, , ,-0.20808818094831463,3
3,7,4,2,12,95, , , ,1,1,90, , ,4,2,101,2,96,7,1,0.33418721353336056,-0.3810523126987576,3, , ,-0.20808818094831463,3
3,9,1,1,36,12,2,1,12,1,8,7,90, ,2,2,101,2,96,2,1,0.33418721353336056,0.01940420751466096,4, , ,0.40595055652646705,4
3,9,2,1,36,12,2,1,12,2, , , , ,2,2,101,2,96,2,1,0.33418721353336056,0.01940420751466096,4, , ,0.40595055652646705,4
3,11,1,1,14,4, , , ,2, , , , ,1,2,101,2,96,2,1,0.33418721353336056,-0.026174019650391483,4, , ,0.3360633261978102,4
3,12,1,1,12,7, , , ,1,1,2,90, ,3,2,101,2,96,2,1,0.33418721353336056,0.21574695687936565,4, , ,0.7070120896686385,5
3,12,2,1,12,7, , , ,1,3,90, , ,3,2,101,2,96,2,1,0.33418721353336056,0.21574695687936565,4, , ,0.7070120896686385,5
