HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
2,4,4,2,12,95, , , ,1,1,90, , , , ,4,2,2,3,1,0.6812406886783559,1.3029077801379534,5, , ,2.4738484061122037,5
2,5,1,1,12,15, , , ,1,1,90, , , , ,3,2,2,1,1,0.6812406886783559,-0.48925360490577585,2, , ,-0.287662721245093,3
2,5,2,1,12,15, , , ,1,2,90, , , , ,3,2,2,1,1,0.6812406886783559,-0.48925360490577585,2, , ,-0.287662721245093,3
2,5,3,1,12,15, , , ,1,3,4,90, , , ,3,2,2,1,1,0.6812406886783559,-0.48925360490577585,2, , ,-0.287662721245093,3
2,6,1,1,21,95, ,1,4,1,3,90, , , , ,5,2,2,3,1,0.6812406886783559,1.907376804084803,5, , ,3.405264488225422,5
2,6,2,1,21,95, ,1,4,1,2,4,1,90, , ,5,2,2,3,1,0.6812406886783559,1.907376804084803,5, , ,3.405264488225422,5
2,6,3,1,21,95, ,1,4,1,5,90, , , , ,5,2,2,3,1,0.6812406886783559,1.907376804084803,5, , ,3.405264488225422,5
2,6,4,1,21,95, ,1,4,2, , , , , , ,5,2,2,3,1,0.6812406886783559,1.907376804084803,5, , ,3.405264488225422,5
2,6,5,1,28,95, ,2, ,2, , , , , , ,5,2,2,3,1,0.6812406886783559,1.907376804084803,5, , ,3.405264488225422,5
2,7,1,1,12,15, , , ,2, , , , , , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,7,2,1,12,31, , , ,1,2,1,7,90, , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,7,3,1,12,31, , , ,1,6,8,0,90, , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,7,4,2,12,31, , , ,1,3,10,90, , , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,7,5,1,12,31, , , ,1,5,9,90, , , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,7,6,1,12,31, , , ,2, , , , , , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,7,7,1,12,31, , , ,2, , , , , , ,7,2,2,2,1,0.6812406886783559,0.16822675604610676,4, , ,0.7254376322943364,5
2,10,1,2,12,95, , , ,1,1,90, , , , ,1,2,2,3,1,0.6812406886783559,-0.5318399572499168,2, , ,-0.35328331035796146,3
2,13,1,2,18,95, , , ,1,1,90, , , , ,1,2,2,1,1,0.6812406886783559,-0.8153898050617083,1, , ,-0.7902004688389899,1
2,14,1,1,12,36, , , ,1,3,90, , , , ,3,2,2,2,1,0.6812406886783559,-0.18538685970556446,3, , ,0.18056040034825233,4
2,14,2,1,12,36, , , ,1,4,5,90, , , ,3,2,2,2,1,0.6812406886783559,-0.18538685970556446,3, , ,0.18056040034825233,4
2,14,3,1,12,21, , , ,1,2,1,90, , , ,3,2,2,2,1,0.6812406886783559,-0.18538685970556446,3, , ,0.18056040034825233,4
2,15,1,1,12,18, , , ,1,1,2,90, , , ,2,2,2,3,1,0.6812406886783559,-0.2804809143108594,3, , ,0.034031582056791986,4
2,15,2,1,12,18, , , ,1,4,90, , , , ,2,2,2,3,1,0.6812406886783559,-0.2804809143108594,3, , ,0.034031582056791986,4
2,16,1,2,28,36, ,1,1,1,1,2,90, , , ,3,2,2,2,1,0.6812406886783559,-0.331206908093657,3, , ,-0.04413124270133356,3
2,16,2,1,28,36, ,1,0,1,5,6,7,90, , ,3,2,2,2,1,0.6812406886783559,-0.331206908093657,3, , ,-0.04413124270133356,3
2,16,3,1,28,36, ,1,0,1,4,90, , , , ,3,2,2,2,1,0.6812406886783559,-0.331206908093657,3, , ,-0.04413124270133356,3
2,17,1,1,18,98, , , ,1,1,90, , , , ,1,2,2,1,1,0.6812406886783559,-0.40623983509340134,3, , ,-0.1597482092073527,3
2,19,1,1,21,12, ,2, ,1,1,2,6,90, , ,2,2,2,2,1,0.6812406886783559,-0.5099705905057027,2, , ,-0.3195851735068925,3
2,19,2,1,21,95, ,2, ,1,5,4,90, , , ,2,2,2,2,1,0.6812406886783559,-0.5099705905057027,2, , ,-0.3195851735068925,3
2,20,1,1,12,95, , , ,1,1,2,90, , , ,3,2,2,2,1,0.6812406886783559,-0.43857403973579834,3, , ,-0.20957143755017776,3
