HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,wscore,windex5,PSU,stratum,hhweight
282,11,1,1,11,0, , , ,2, , , , ,1,2,4,1,-0.6784758008167918,2,282,8,0.899704
283,5,1,1,11,12, , , ,2, , , , ,1,2,4,5,1.2865781539435697,5,283,8,0.899704
283,6,1,1,11,95, , , ,2, , , , ,2,2,4,5,0.9007024205677925,5,283,8,0.899704
283,6,2,1,11,95, , , ,2, , , , ,2,2,4,5,0.9007024205677925,5,283,8,0.899704
283,12,1,1,11,95, , , ,2, , , , ,2,2,4,4,-0.825307219245133,2,283,8,0.899704
283,12,2,2,11,12, , , ,2, , , , ,2,2,4,4,-0.825307219245133,2,283,8,0.899704
284,15,1,1,11,95, , , ,2, , , , ,1,2,4,1,0.5091723034079455,4,284,8,0.899704
285,1,1,1,11,12, , , ,2, , , , ,1,2,4,1,-1.4075255472455692,1,285,8,0.899704
285,5,1,1,11,95, , , ,1,2,3,90, ,1,2,4,1,-1.372549921943151,1,285,8,0.899704
286,4,1,1,11,12, , , ,2, , , , ,1,2,4,1,-1.2179793659567137,1,286,8,0.899704
286,10,1,1,11,3, , , ,2, , , , ,3,2,4,2,-1.0583132100776682,1,286,8,0.899704
286,10,2,1,11,3, , , ,2, , , , ,3,2,4,2,-1.0583132100776682,1,286,8,0.899704
286,10,3,1,11,3, , , ,2, , , , ,3,2,4,2,-1.0583132100776682,1,286,8,0.899704
286,11,1,1,11,4, , , ,2, , , , ,1,2,4,2,-0.39494154047300534,3,286,8,0.899704
