HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH4,HH6,HH7,ethnicity,helevel,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
2,17,2,1,1,14,4,96,1,3,90, , ,1,5,10,2,1,96,4,0.2915139602977914,0.9953473382020519,5,9, , , ,1.7348683781279146,5,10,2,1012
2,17,3,1,5,14,3, ,1,4,10,90, ,1,5,10,2,1,96,4,0.2915139602977914,0.9953473382020519,5,9, , , ,1.7348683781279146,5,10,2,1012
2,17,4,1,98,13,1, ,1,6,9,7,90,1,5,10,2,1,96,4,0.2915139602977914,0.9953473382020519,5,9, , , ,1.7348683781279146,5,10,2,1012
2,17,5,1,98,13,1, ,1,5,90, , ,1,5,10,2,1,96,4,0.2915139602977914,0.9953473382020519,5,9, , , ,1.7348683781279146,5,10,2,1012
2,19,1,1,95,12,1, ,1,1,2,90, ,1,1,10,2,1,96,0,0.2915139602977914,0.1285194308356377,4,8, , , ,0.5035787369824399,5,9,2,1012
2,20,1,1,95,14,2, ,1,1,2,3,90,1,4,10,2,1,96,3,0.2915139602977914,0.2719277753770122,4,8, , , ,0.7072837718423469,5,9,2,1012
2,20,2,1,20,14,3, ,2, , , , ,1,4,10,2,1,96,3,0.2915139602977914,0.2719277753770122,4,8, , , ,0.7072837718423469,5,9,2,1012
2,20,3,1,12,13,1, ,2, , , , ,1,4,10,2,1,96,3,0.2915139602977914,0.2719277753770122,4,8, , , ,0.7072837718423469,5,9,2,1012
2,20,4,1,98,98,4,4,2, , , , ,1,4,10,2,1,96,3,0.2915139602977914,0.2719277753770122,4,8, , , ,0.7072837718423469,5,9,2,1012
2,21,1,1,12,12,1, ,1,1,2,3,90,1,1,10,2,1,96,2,0.2915139602977914,-0.2929153165755041,3,6, , , ,-0.09505016559020474,4,7,2,1012
2,22,1,1,24,12,1, ,1,1,90, , ,1,1,10,2,1,96,1,0.2915139602977914,1.5213984827125975,5,10, , , ,2.4821001174894852,5,10,2,1012
2,23,1,1,98,13,1, ,1,1,90, , ,1,2,10,2,1,96,1,0.2915139602977914,-0.26331832052834375,3,6, , , ,-0.05300897802321558,4,7,2,1012
2,23,2,1,98,13,1, ,2, , , , ,1,2,10,2,1,96,1,0.2915139602977914,-0.26331832052834375,3,6, , , ,-0.05300897802321558,4,7,2,1012
2,24,1,1,15,12,1, ,2, , , , ,1,2,10,2,1,2,1,0.2915139602977914,-0.2032667789972682,3,6, , , ,0.032291507106153125,4,7,2,1012
2,24,2,2,15,12,1, ,1,1,2,3,90,1,2,10,2,1,2,1,0.2915139602977914,-0.2032667789972682,3,6, , , ,0.032291507106153125,4,7,2,1012
3,1,1,1,24,11,1, ,1,1,90, , ,1,2,20,2,1,96,1,0.29120877107885923,1.5172638711949455,5,10, , , ,2.4762270897655476,5,10,3,1012
3,1,2,1,24,11,1, ,1,5,6,90, ,1,2,20,2,1,96,1,0.29120877107885923,1.5172638711949455,5,10, , , ,2.4762270897655476,5,10,3,1012
3,2,1,1,24,12,1, ,1,1,2,90, ,1,3,20,2,1,96,5,0.29120877107885923,1.3892622122174474,5,9, , , ,2.294406551445238,5,10,3,1012
3,2,2,1,24,12,1, ,1,3,90, , ,1,3,20,2,1,96,5,0.29120877107885923,1.3892622122174474,5,9, , , ,2.294406551445238,5,10,3,1012
3,2,3,1,24,12,1, ,1,4,90, , ,1,3,20,2,1,96,5,0.29120877107885923,1.3892622122174474,5,9, , , ,2.294406551445238,5,10,3,1012
3,3,1,1,24,12,1, ,1,7,90, , ,1,2,20,2,1,96,3,0.29120877107885923,-0.10822165426268587,4,7, , , ,0.16729878655868485,4,8,3,1012
3,3,2,1,24,12,1, ,1,8,9,90, ,1,2,20,2,1,96,3,0.29120877107885923,-0.10822165426268587,4,7, , , ,0.16729878655868485,4,8,3,1012
3,4,1,1,2,12,1, ,1,2,1,4,90,1,1,20,2,1,96,1,0.29120877107885923,-0.2785791387431026,3,6, , , ,-0.07468627662372526,4,7,3,1012
3,5,1,1,98,13,1, ,1,1,90, , ,1,1,20,2,1,96,0,0.29120877107885923,-0.25809446499256766,3,6, , , ,-0.045588728682624514,4,7,3,1012
3,8,1,1,95,13,1, ,1,1,90, , ,1,2,20,2,1,96,1,0.29120877107885923,-0.05697179587071108,4,7, , , ,0.24009688086546724,4,8,3,1012
3,8,2,1,95,13,1, ,1,2,90, , ,1,2,20,2,1,96,1,0.29120877107885923,-0.05697179587071108,4,7, , , ,0.24009688086546724,4,8,3,1012
3,9,1,1,24,13,1, ,1,1,4,90, ,1,2,20,2,1,96,1,0.29120877107885923,-0.6192493495210362,2,3, , , ,-0.5585928260241991,2,4,3,1012
3,9,2,1,24,13,1, ,1,2,3,90, ,1,2,20,2,1,96,1,0.29120877107885923,-0.6192493495210362,2,3, , , ,-0.5585928260241991,2,4,3,1012
3,10,1,1,1,12,1, ,1,1,3,90, ,1,2,20,2,1,96,1,0.29120877107885923,-0.13729062472417003,4,7, , , ,0.12600763533498577,4,8,3,1012
3,10,2,1,1,12,1, ,1,2,90, , ,1,2,20,2,1,96,1,0.29120877107885923,-0.13729062472417003,4,7, , , ,0.12600763533498577,4,8,3,1012
3,11,1,1,1,12,1, ,1,1,90, , ,1,2,20,2,1,96,1,0.29120877107885923,-0.06781483945498748,4,7, , , ,0.22469483031962006,4,8,3,1012
3,11,2,1,1,12,1, ,1,3,4,90, ,1,2,20,2,1,96,1,0.29120877107885923,-0.06781483945498748,4,7, , , ,0.22469483031962006,4,8,3,1012
3,12,1,1,1,12,1, ,1,1,2,90, ,1,6,20,2,1,96,1,0.29120877107885923,-0.25932680321064605,3,6, , , ,-0.047339209106031344,4,7,3,1012
3,12,2,1,1,12,1, ,1,5,90, , ,1,6,20,2,1,96,1,0.29120877107885923,-0.25932680321064605,3,6, , , ,-0.047339209106031344,4,7,3,1012
3,12,3,1,1,12,1, ,1,4,90, , ,1,6,20,2,1,96,1,0.29120877107885923,-0.25932680321064605,3,6, , , ,-0.047339209106031344,4,7,3,1012
3,12,4,1,1,12,1, ,1,3,90, , ,1,6,20,2,1,96,1,0.29120877107885923,-0.25932680321064605,3,6, , , ,-0.047339209106031344,4,7,3,1012
3,12,5,1,1,12,1, ,1,7,8,90, ,1,6,20,2,1,96,1,0.29120877107885923,-0.25932680321064605,3,6, , , ,-0.047339209106031344,4,7,3,1012
3,12,6,1,1,12,1, ,1,6,90, , ,1,6,20,2,1,96,1,0.29120877107885923,-0.25932680321064605,3,6, , , ,-0.047339209106031344,4,7,3,1012
3,13,1,1,28,12,1, ,1,2,5,90, ,1,1,20,2,1,96,1,0.29120877107885923,-0.09758788695134252,4,7, , , ,0.1824035696713885,4,8,3,1012
3,14,1,1,12,12,1, ,1,1,90, , ,1,2,20,2,1,96,1,0.29120877107885923,0.3568498077416937,4,8, , , ,0.8279116587239969,5,9,3,1012
3,14,2,1,12,12,1, ,1,2,5,90, ,1,2,20,2,1,96,1,0.29120877107885923,0.3568498077416937,4,8, , , ,0.8279116587239969,5,9,3,1012
3,16,1,1,4,17,2, ,1,1,2,3,90,1,1,20,2,1,96,0,0.29120877107885923,-0.48304851911114943,3,5, , , ,-0.36512573737379184,3,5,3,1012
3,17,1,1,21,12,1, ,1,1,2,90, ,1,2,20,2,1,96,1,0.29120877107885923,0.06831093344876674,4,8, , , ,0.418055303194271,5,9,3,1012
3,17,2,1,21,12,1, ,1,4,5,90, ,1,2,20,2,1,96,1,0.29120877107885923,0.06831093344876674,4,8, , , ,0.418055303194271,5,9,3,1012
3,18,1,1,24,13,1, ,1,1,2,90, ,1,2,20,2,1,96,1,0.29120877107885923,-0.3034327141241077,3,6, , , ,-0.10998965074447117,4,7,3,1012
3,18,2,1,24,13,1, ,1,6,4,90, ,1,2,20,2,1,96,1,0.29120877107885923,-0.3034327141241077,3,6, , , ,-0.10998965074447117,4,7,3,1012
3,19,1,1,1,12,1, ,1,1,2,90, ,1,5,20,2,1,96,2,0.29120877107885923,1.7703881321599877,5,10, , , ,2.8357785968181646,5,10,3,1012
3,19,2,1,1,12,1, ,1,3,90, , ,1,5,20,2,1,96,2,0.29120877107885923,1.7703881321599877,5,10, , , ,2.8357785968181646,5,10,3,1012
3,19,3,1,1,12,1, ,1,4,90, , ,1,5,20,2,1,96,2,0.29120877107885923,1.7703881321599877,5,10, , , ,2.8357785968181646,5,10,3,1012
3,19,4,1,1,12,1, ,2, , , , ,1,5,20,2,1,96,2,0.29120877107885923,1.7703881321599877,5,10, , , ,2.8357785968181646,5,10,3,1012
3,19,5,1,1,12,1, ,2, , , , ,1,5,20,2,1,96,2,0.29120877107885923,1.7703881321599877,5,10, , , ,2.8357785968181646,5,10,3,1012
3,21,1,1,95,17,2, ,1,1,2,3,90,1,1,20,2,1,96,1,0.29120877107885923,-0.2540640654073798,3,6, , , ,-0.03986372927184633,4,7,3,1012
3,22,1,1,2,12,1, ,1,2,3,90, ,1,2,20,2,1,96,3,0.29120877107885923,-0.150643132936377,4,7, , , ,0.10704100435173727,4,8,3,1012
3,22,2,1,1,17,2, ,2, , , , ,1,2,20,2,1,96,3,0.29120877107885923,-0.150643132936377,4,7, , , ,0.10704100435173727,4,8,3,1012
3,24,1,1,24,14,3, ,1,5,90, , ,1,1,20,2,1,96,1,0.29120877107885923,0.6822052582584937,5,9, , , ,1.2900642872989967,5,10,3,1012
4,1,1,1,3,12,1, ,1,1,2,90, ,1,2,10,2,1,2,1,0.2749901007615302,0.44990826208720447,4,8, , , ,0.9600969631920518,5,9,4,1012
4,1,2,1,3,12,1, ,1,3,4,90, ,1,2,10,2,1,2,1,0.2749901007615302,0.44990826208720447,4,8, , , ,0.9600969631920518,5,9,4,1012
4,2,1,1,24,12,1, ,1,1,90, , ,1,4,10,2,1,96,1,0.2749901007615302,-0.3136183806050664,3,6, , , ,-0.12445792699583297,4,7,4,1012
4,2,2,1,24,12,1, ,1,2,6,5,90,1,4,10,2,1,96,1,0.2749901007615302,-0.3136183806050664,3,6, , , ,-0.12445792699583297,4,7,4,1012
4,2,3,1,24,12,1, ,1,3,90, , ,1,4,10,2,1,96,1,0.2749901007615302,-0.3136183806050664,3,6, , , ,-0.12445792699583297,4,7,4,1012
4,2,4,1,24,12,1, ,1,4,90, , ,1,4,10,2,1,96,1,0.2749901007615302,-0.3136183806050664,3,6, , , ,-0.12445792699583297,4,7,4,1012
4,4,1,1,12,12,1, ,1,1,2,90, ,1,3,10,2,1,96,1,0.2749901007615302,0.07536837696892687,4,8, , , ,0.4280800809217712,5,9,4,1012
4,4,2,1,12,12,1, ,1,5,6,90, ,1,3,10,2,1,96,1,0.2749901007615302,0.07536837696892687,4,8, , , ,0.4280800809217712,5,9,4,1012
4,4,3,1,30,14,1, ,1,3,4,90, ,1,3,10,2,1,96,1,0.2749901007615302,0.07536837696892687,4,8, , , ,0.4280800809217712,5,9,4,1012
4,5,1,1,24,12,1, ,1,1,2,90, ,1,3,10,2,1,96,1,0.2749901007615302,0.3438007683473473,4,8, , , ,0.809376091402482,5,9,4,1012
