HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
6,5,1,2,98,95,2,2, ,2, , , , ,4,1,0,4,0.997695598002598,1.7800054813376698,5,1.8084086781877469,5, , 
6,5,2,2,98,95,2,2, ,2, , , , ,4,1,0,4,0.997695598002598,1.7800054813376698,5,1.8084086781877469,5, , 
6,5,3,2,98,98,2,2, ,2, , , , ,4,1,0,4,0.997695598002598,1.7800054813376698,5,1.8084086781877469,5, , 
6,5,4,2,98,95,2,2, ,8, , , , ,4,1,0,4,0.997695598002598,1.7800054813376698,5,1.8084086781877469,5, , 
6,10,1,1,98,95,2,2, ,1,4,5,90, ,1,1,0,3,0.997695598002598,1.1820051402907288,5,-0.008824892664285374,3, , 
6,11,1,1,15,95, , , ,2, , , , ,1,1,0,2,0.997695598002598,1.8894661168638587,5,2.141043173373385,5, , 
6,12,1,1,13,95, , , ,1,1,2,90, ,1,1,0,4,0.997695598002598,1.3010059404163026,5,0.3528007354546631,4, , 
6,19,1,1,14,13, , , ,2, , , , ,1,1,0,3,0.997695598002598,1.1722235614730458,5,-0.03854964728952265,3, , 
6,20,1,1,13,5, , , ,2, , , , ,2,1,0,4,0.997695598002598,1.607422183173926,5,1.2839538548970981,5, , 
6,20,2,1,14,5, , , ,2, , , , ,2,1,0,4,0.997695598002598,1.607422183173926,5,1.2839538548970981,5, , 
6,22,1,1,98,95,2,2, ,2, , , , ,1,1,0,2,0.997695598002598,0.9895604314743914,4,-0.5936355715037487,2, , 
6,23,1,1,14,3, , , ,2, , , , ,2,1,0,3,0.997695598002598,1.2777446388122748,5,0.2821131199550672,4, , 
6,23,2,1,14,3, , , ,2, , , , ,2,1,0,3,0.997695598002598,1.2777446388122748,5,0.2821131199550672,4, , 
6,25,1,1,98,3,2,2, ,2, , , , ,2,1,0,2,0.997695598002598,0.8262314670083734,4,-1.0899678592086621,1, , 
6,25,2,1,98,0,1,2, ,1,1,90, , ,2,1,0,2,0.997695598002598,0.8262314670083734,4,-1.0899678592086621,1, , 
7,3,1,2,98,98,2,2, ,2, , , , ,2,1,0,4,0.929917364442639,2.239962463096904,5,3.2061491325448537,5, , 
7,3,2,2,98,98,2,2, ,2, , , , ,2,1,0,4,0.929917364442639,2.239962463096904,5,3.2061491325448537,5, , 
7,7,1,2,28,13, ,2, ,2, , , , ,4,1,0,4,0.929917364442639,1.8006620112869085,5,1.8711807823229187,5, , 
